,uid,asks,answers,posts,views,days,type,Student ID,Student Name,Personal Statement [2],Assignment 1 [2],Assignment 2 [2],Mini-Proposal [2],Personal Question [2],Proposal -- First Draft [2],Proposal -- Final Draft [2],Progress Report [1],Trailer [2],Final Project [2],Project Paper [2],Project Presentation [2],Final Grade [23],grade_bucket
39,Misc1,0,0,13,67,56,student,,,,,,,,,,,,,,,,
40,Guest8,0,0,11,3,3,guest,,,,,,,,,,,,,,,,
41,Teacher7,0,0,124,85,44,teacher,,,,,,,,,,,,,,,,
42,Student29,1,0,43,211,44,student,Student29,Student29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.652173913,d
43,Student98,0,0,30,302,39,student,Student98,Student98,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.565217391,d
44,Student38,4,0,74,235,70,student,Student38,Student38,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.869565217,b
45,Student68,0,0,37,151,28,student,Student68,Student68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.391304348,d
46,Student48,1,1,36,341,46,student,Student48,Student48,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,0.608695652,d
47,Student5,0,0,25,262,38,student,Student5,Student5,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.782608696,c
48,Student18,0,0,22,223,44,student,Student18,Student18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52173913,d
49,Student77,1,0,86,323,62,student,Student77,Student77,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.782608696,c
50,Student79,7,0,29,113,35,student,Student79,Student79,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.652173913,d
51,Student20,0,2,4,109,46,student,Student20,Student20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.565217391,d
52,Student84,2,0,26,97,30,student,Student84,Student84,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,0.652173913,d
53,Guest9,0,0,9,13,55,guest,,,,,,,,,,,,,,,,
54,Student88,0,0,57,341,71,student,Student88,Student88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,0.347826087,d
55,Student22,6,4,134,283,70,student,Student22,Student22,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.782608696,c
56,Student50,2,0,23,186,34,student,Student50,Student50,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.826086957,b
57,Teacher4,0,0,224,135,49,teacher,,,,,,,,,,,,,,,,
58,Teacher3,1,0,175,289,70,teacher,,,,,,,,,,,,,,,,
59,Student80,2,0,97,161,70,student,Student80,Student80,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.956521739,a
60,Student60,0,0,46,80,48,student,Student60,Student60,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,0.47826087,d
61,Misc2,0,0,2,29,39,student,,,,,,,,,,,,,,,,
62,Student78,0,0,20,292,14,student,Student78,Student78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52173913,d
63,Student30,3,0,32,276,27,student,Student30,Student30,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.608695652,d
64,Student56,2,0,29,89,39,student,Student56,Student56,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,0.391304348,d
65,Student47,0,0,22,340,63,student,Student47,Student47,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.652173913,d
66,Student95,2,1,52,342,54,student,Student95,Student95,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.869565217,b
67,Student42,0,0,27,202,27,student,Student42,Student42,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.869565217,b
68,Student85,0,0,80,338,53,student,Student85,Student85,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.739130435,c
69,Student100,3,0,72,206,46,student,Student100,Student100,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,a
70,Student41,1,0,32,213,45,student,Student41,Student41,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.695652174,d
71,Student93,0,0,43,204,58,student,Student93,Student93,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,0.739130435,c
72,Student7,0,0,25,327,53,student,Student7,Student7,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.782608696,c
73,Student19,0,0,11,319,52,student,Student19,Student19,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.652173913,d
74,Student90,2,1,55,222,62,student,Student90,Student90,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.739130435,c
75,Student44,3,1,81,145,52,student,Student44,Student44,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.869565217,b
76,Student46,1,0,47,222,37,student,Student46,Student46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.652173913,d
77,Student4,2,0,17,158,59,student,Student4,Student4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52173913,d
78,Misc3,2,0,33,89,51,student,,,,,,,,,,,,,,,,
79,Student81,4,0,64,320,49,student,Student81,Student81,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.782608696,c
80,Student33,1,0,43,343,61,student,Student33,Student33,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.739130435,c
81,Student51,2,1,179,344,72,student,Student51,Student51,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,1.0,2.0,2.0,2.0,0.739130435,c
82,Student8,3,0,177,205,57,student,Student8,Student8,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,0.608695652,d
83,Student59,0,0,33,234,63,student,Student59,Student59,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.652173913,d
84,Student63,0,0,23,259,69,student,Student63,Student63,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,0.434782609,d
85,Student82,0,0,68,259,62,student,Student82,Student82,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.695652174,d
86,Student58,1,1,42,109,64,student,Student58,Student58,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,0.608695652,d
87,Student86,6,2,57,323,68,student,Student86,Student86,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.739130435,c
88,Student101,0,1,63,215,45,student,Student101,Student101,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.608695652,d
89,Student75,1,4,31,79,37,student,Student75,Student75,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.739130435,c
90,Student15,0,0,14,54,28,student,Student15,Student15,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.52173913,d
91,Student64,2,1,31,321,50,student,Student64,Student64,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.695652174,d
92,Student65,3,4,112,246,70,student,Student65,Student65,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,0.608695652,d
93,Student9,3,0,111,177,40,student,Student9,Student9,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.956521739,a
94,Student2,1,0,44,340,56,student,Student2,Student2,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.695652174,d
95,Student70,0,0,8,42,12,student,Student70,Student70,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.739130435,c
96,Misc4,0,0,18,146,49,student,,,,,,,,,,,,,,,,
97,Student52,0,0,27,331,53,student,Student52,Student52,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.608695652,d
98,Student37,0,0,13,59,19,student,Student37,Student37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.565217391,d
99,Student40,6,1,48,265,37,student,Student40,Student40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.47826087,d
100,Student3,2,0,78,139,40,student,Student3,Student3,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.652173913,d
101,Student66,0,0,22,101,53,student,Student66,Student66,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.869565217,b
102,Student87,1,0,37,338,57,student,Student87,Student87,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.608695652,d
103,Student43,0,0,64,342,51,student,Student43,Student43,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.652173913,d
104,Student35,0,0,65,342,72,student,Student35,Student35,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.869565217,b
105,Student11,0,0,106,344,70,student,Student11,Student11,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,0.52173913,d
106,Student16,2,0,32,100,57,student,Student16,Student16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,0.434782609,d
107,Misc5,0,0,0,18,66,student,,,,,,,,,,,,,,,,
108,Student97,1,0,14,92,53,student,Student97,Student97,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.608695652,d
109,Student99,1,0,30,339,52,student,Student99,Student99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.565217391,d
110,Student10,3,0,71,305,67,student,Student10,Student10,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.956521739,a
111,Student32,0,3,86,293,69,student,Student32,Student32,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,0.52173913,d
112,Teacher6,0,2,235,112,49,teacher,,,,,,,,,,,,,,,,
113,Student53,0,1,31,210,68,student,Student53,Student53,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.826086957,b
114,Student94,0,1,10,33,46,student,Student94,Student94,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,2.0,,2.0,,0.608695652,d
115,Student21,1,1,27,317,64,student,Student21,Student21,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.826086957,b
116,Guest10,0,0,11,135,61,guest,,,,,,,,,,,,,,,,
117,Student54,2,0,77,342,57,student,Student54,Student54,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,0.565217391,d
