Source,Target,type,type_data,no_replies,unique_views,no_reply_upvotes,no_reply_answer,weights,user_type
Student13,Teacher1,directed,user_graph,4,0,0,0,4,Student
Student68,Teacher1,directed,user_graph,4,0,0,0,4,Student
Student32,Teacher1,directed,user_graph,4,0,0,0,4,Student
Teacher4,Teacher4,directed,user_graph,4,0,0,0,4,Teacher
Teacher4,Teacher4,directed,user_graph,4,0,0,0,4,Teacher
Teacher4,Teacher4,directed,user_graph,4,0,0,0,4,Teacher
Teacher4,Teacher4,directed,user_graph,4,0,0,0,4,Teacher
Student6,Teacher2,directed,user_graph,4,0,0,0,4,Student
Student55,Teacher2,directed,user_graph,4,0,0,0,4,Student
Student34,Teacher2,directed,user_graph,4,0,0,0,4,Student
Student46,Teacher2,directed,user_graph,4,0,0,0,4,Student
Student53,Teacher7,directed,user_graph,4,0,0,0,4,Student
Teacher7,Teacher7,directed,user_graph,4,0,0,0,4,Teacher
Teacher7,Teacher7,directed,user_graph,4,0,0,0,4,Teacher
Teacher7,Teacher7,directed,user_graph,4,0,0,0,4,Teacher
Teacher7,Teacher7,directed,user_graph,4,0,0,0,4,Teacher
Teacher7,Teacher7,directed,user_graph,4,0,0,0,4,Teacher
Student12,Teacher7,directed,user_graph,4,0,0,1,5,Student
Teacher7,Teacher7,directed,user_graph,4,0,0,1,5,Teacher
Student21,Teacher7,directed,user_graph,4,0,0,0,4,Student
Teacher7,Teacher7,directed,user_graph,4,0,0,0,4,Teacher
Teacher7,Teacher7,directed,user_graph,4,0,0,0,4,Teacher
Teacher7,Teacher7,directed,user_graph,4,0,0,0,4,Teacher
Student33,Teacher7,directed,user_graph,4,0,0,0,4,Student
Teacher7,Teacher7,directed,user_graph,4,0,0,0,4,Teacher
Teacher7,Teacher7,directed,user_graph,4,0,0,0,4,Teacher
Teacher7,Teacher7,directed,user_graph,4,0,0,0,4,Teacher
Student32,Teacher1,directed,user_graph,4,0,0,0,4,Student
Teacher1,Teacher1,directed,user_graph,4,0,0,0,4,Teacher
Teacher1,Teacher1,directed,user_graph,4,0,0,0,4,Teacher
Teacher1,Teacher1,directed,user_graph,4,0,0,0,4,Teacher
Student55,Student80,directed,user_graph,4,0,0,0,4,Student
Student71,Student80,directed,user_graph,4,0,0,0,4,Student
Teacher2,Student80,directed,user_graph,4,0,0,0,4,Teacher
Student34,Student80,directed,user_graph,4,0,0,0,4,Student
idfybvjfkFB,Student85,directed,user_graph,4,0,0,0,4,idfybvjfkFB
Student34,Student85,directed,user_graph,4,0,0,0,4,Student
Student3,Student85,directed,user_graph,4,0,0,0,4,Student
Student21,Student85,directed,user_graph,4,0,0,0,4,Student
Teacher1,Teacher1,directed,user_graph,4,0,0,0,4,Teacher
Teacher1,Teacher1,directed,user_graph,4,0,0,0,4,Teacher
Teacher1,Teacher1,directed,user_graph,4,0,0,0,4,Teacher
Teacher1,Teacher1,directed,user_graph,4,0,0,0,4,Teacher
Student8,Student24,directed,user_graph,4,0,0,0,4,Student
idfybvjfkFB,Student24,directed,user_graph,4,0,0,0,4,idfybvjfkFB
Student71,Student6,directed,user_graph,4,0,0,0,4,Student
Student51,Student6,directed,user_graph,4,0,0,0,4,Student
Student46,Student6,directed,user_graph,4,0,0,0,4,Student
Student56,Student6,directed,user_graph,4,0,0,0,4,Student
Student40,Student32,directed,user_graph,4,0,0,0,4,Student
Student65,Student32,directed,user_graph,4,0,0,0,4,Student
Student34,Student32,directed,user_graph,4,0,0,0,4,Student
Student95,Student32,directed,user_graph,4,0,0,0,4,Student
Teacher2,Student39,directed,user_graph,4,0,0,0,4,Teacher
Student32,Student39,directed,user_graph,4,0,0,0,4,Student
Student73,Student39,directed,user_graph,4,0,0,0,4,Student
Student73,Student39,directed,user_graph,4,0,0,0,4,Student
Teacher2,Teacher2,directed,user_graph,4,0,0,0,4,Teacher
Teacher2,Teacher2,directed,user_graph,4,0,0,0,4,Teacher
Teacher2,Teacher2,directed,user_graph,4,0,0,0,4,Teacher
Teacher2,Teacher2,directed,user_graph,4,0,0,0,4,Teacher
Student73,Student40,directed,user_graph,4,0,0,0,4,Student
Student22,Student40,directed,user_graph,4,0,0,0,4,Student
Student13,Student40,directed,user_graph,4,0,0,0,4,Student
Student48,Student40,directed,user_graph,4,0,0,0,4,Student
Student33,Teacher7,directed,user_graph,4,0,0,0,4,Student
Teacher7,Teacher7,directed,user_graph,4,0,0,0,4,Teacher
Student33,Teacher7,directed,user_graph,4,0,0,1,5,Student
Student33,Teacher7,directed,user_graph,4,0,0,1,5,Student
Teacher2,Student77,directed,user_graph,4,0,0,0,4,Teacher
Student22,Student77,directed,user_graph,4,0,0,0,4,Student
Student35,Student77,directed,user_graph,4,0,0,0,4,Student
Student8,Student77,directed,user_graph,4,0,0,0,4,Student
Student55,Student59,directed,user_graph,5,0,0,0,5,Student
Teacher7,Student59,directed,user_graph,5,0,0,0,5,Teacher
Student90,Student59,directed,user_graph,5,0,0,0,5,Student
Student24,Student59,directed,user_graph,5,0,0,0,5,Student
Student10,Student59,directed,user_graph,5,0,0,0,5,Student
Student72,Student34,directed,user_graph,5,0,0,0,5,Student
Student95,Student34,directed,user_graph,5,0,0,0,5,Student
Student77,Student34,directed,user_graph,5,0,0,0,5,Student
Student101,Student34,directed,user_graph,5,0,0,0,5,Student
Student34,Student34,directed,user_graph,5,0,0,0,5,Student
Student37,Teacher3,directed,user_graph,5,0,0,1,6,Student
Teacher3,Teacher3,directed,user_graph,5,0,0,1,6,Teacher
Teacher3,Teacher3,directed,user_graph,5,0,0,1,6,Teacher
Teacher3,Teacher3,directed,user_graph,5,0,0,1,6,Teacher
Teacher3,Teacher3,directed,user_graph,5,0,0,1,6,Teacher
Teacher2,Teacher2,directed,user_graph,5,0,0,0,5,Teacher
Teacher2,Teacher2,directed,user_graph,5,0,0,0,5,Teacher
Teacher2,Teacher2,directed,user_graph,5,0,0,0,5,Teacher
Teacher2,Teacher2,directed,user_graph,5,0,0,0,5,Teacher
Teacher2,Teacher2,directed,user_graph,5,0,0,0,5,Teacher
Student46,Teacher3,directed,user_graph,5,0,0,0,5,Student
Teacher3,Teacher3,directed,user_graph,5,0,0,0,5,Teacher
Teacher3,Teacher3,directed,user_graph,5,0,0,0,5,Teacher
Teacher3,Teacher3,directed,user_graph,5,0,0,1,6,Teacher
Teacher3,Teacher3,directed,user_graph,5,0,0,1,6,Teacher
Teacher3,Teacher3,directed,user_graph,5,0,0,1,6,Teacher
Teacher3,Teacher3,directed,user_graph,5,0,0,1,6,Teacher
Teacher3,Teacher3,directed,user_graph,5,0,0,1,6,Teacher
Teacher3,Teacher3,directed,user_graph,5,0,0,1,6,Teacher
Teacher3,Teacher3,directed,user_graph,5,0,0,1,6,Teacher
Student55,Student24,directed,user_graph,5,0,0,0,5,Student
Student88,Student24,directed,user_graph,5,0,0,0,5,Student
Student67,Student24,directed,user_graph,5,0,0,0,5,Student
Student77,Student24,directed,user_graph,5,0,0,0,5,Student
Student32,Student24,directed,user_graph,5,0,0,0,5,Student
Student42,Teacher7,directed,user_graph,5,0,0,0,5,Student
Teacher7,Teacher7,directed,user_graph,5,0,0,0,5,Teacher
Teacher7,Teacher7,directed,user_graph,5,0,0,0,5,Teacher
Student42,Teacher7,directed,user_graph,5,0,0,0,5,Student
Teacher7,Teacher7,directed,user_graph,5,0,0,1,6,Teacher
Teacher1,Teacher1,directed,user_graph,5,0,0,0,5,Teacher
Teacher1,Teacher1,directed,user_graph,5,0,0,0,5,Teacher
Teacher1,Teacher1,directed,user_graph,5,0,0,0,5,Teacher
Teacher1,Teacher1,directed,user_graph,5,0,0,0,5,Teacher
Teacher1,Teacher1,directed,user_graph,5,0,0,0,5,Teacher
Teacher1,Teacher1,directed,user_graph,5,0,0,0,5,Teacher
Student6,Teacher1,directed,user_graph,5,0,0,0,5,Student
Teacher1,Teacher1,directed,user_graph,5,0,0,0,5,Teacher
Teacher1,Teacher1,directed,user_graph,5,0,0,0,5,Teacher
Teacher1,Teacher1,directed,user_graph,5,0,0,0,5,Teacher
Student83,Student86,directed,user_graph,5,0,0,0,5,Student
Student8,Student86,directed,user_graph,5,0,0,0,5,Student
Student2,Student86,directed,user_graph,5,0,0,0,5,Student
Student63,Student86,directed,user_graph,5,0,0,0,5,Student
Student54,Student86,directed,user_graph,5,0,0,0,5,Student
Teacher2,Student6,directed,user_graph,6,0,0,0,6,Teacher
Student83,Student6,directed,user_graph,6,0,0,0,6,Student
Student55,Student6,directed,user_graph,6,0,0,0,6,Student
Student83,Student6,directed,user_graph,6,0,0,0,6,Student
Student11,Student6,directed,user_graph,6,0,0,0,6,Student
Student38,Student6,directed,user_graph,6,0,0,0,6,Student
Teacher2,Student34,directed,user_graph,6,0,0,0,6,Teacher
Student90,Student34,directed,user_graph,6,0,0,0,6,Student
Student90,Student34,directed,user_graph,6,0,0,0,6,Student
Student71,Student34,directed,user_graph,6,0,0,0,6,Student
Student80,Student34,directed,user_graph,6,0,0,0,6,Student
Student44,Student34,directed,user_graph,6,0,0,0,6,Student
Student58,Teacher4,directed,user_graph,6,0,0,0,6,Student
Teacher4,Teacher4,directed,user_graph,6,0,0,0,6,Teacher
Teacher4,Teacher4,directed,user_graph,6,0,0,0,6,Teacher
Teacher4,Teacher4,directed,user_graph,6,0,0,0,6,Teacher
Teacher4,Teacher4,directed,user_graph,6,0,0,0,6,Teacher
Teacher4,Teacher4,directed,user_graph,6,0,0,0,6,Teacher
Student28,Teacher4,directed,user_graph,6,0,0,0,6,Student
Teacher4,Teacher4,directed,user_graph,6,0,0,0,6,Teacher
Teacher4,Teacher4,directed,user_graph,6,0,0,0,6,Teacher
Teacher4,Teacher4,directed,user_graph,6,0,0,0,6,Teacher
Teacher4,Teacher4,directed,user_graph,6,0,0,0,6,Teacher
Teacher4,Teacher4,directed,user_graph,6,0,0,0,6,Teacher
Student64,Teacher4,directed,user_graph,6,0,0,0,6,Student
Teacher4,Teacher4,directed,user_graph,6,0,0,0,6,Teacher
Teacher4,Teacher4,directed,user_graph,6,0,0,0,6,Teacher
Teacher4,Teacher4,directed,user_graph,6,0,0,0,6,Teacher
Teacher4,Teacher4,directed,user_graph,6,0,0,0,6,Teacher
Teacher4,Teacher4,directed,user_graph,6,0,0,0,6,Teacher
Student84,Teacher3,directed,user_graph,6,0,0,0,6,Student
Student84,Teacher3,directed,user_graph,6,0,0,0,6,Student
Teacher3,Teacher3,directed,user_graph,6,0,0,0,6,Teacher
Teacher3,Teacher3,directed,user_graph,6,0,0,0,6,Teacher
Teacher3,Teacher3,directed,user_graph,6,0,0,0,6,Teacher
Student84,Teacher3,directed,user_graph,6,0,0,1,7,Student
Student39,Teacher3,directed,user_graph,6,0,0,0,6,Student
Teacher3,Teacher3,directed,user_graph,6,0,0,0,6,Teacher
Teacher3,Teacher3,directed,user_graph,6,0,0,0,6,Teacher
Teacher3,Teacher3,directed,user_graph,6,0,0,0,6,Teacher
Teacher3,Teacher3,directed,user_graph,6,0,0,0,6,Teacher
Teacher3,Teacher3,directed,user_graph,6,0,0,0,6,Teacher
Student96,Teacher3,directed,user_graph,6,0,0,0,6,Student
Teacher3,Teacher3,directed,user_graph,6,0,0,0,6,Teacher
Student96,Teacher3,directed,user_graph,6,0,0,0,6,Student
Teacher3,Teacher3,directed,user_graph,6,0,0,0,6,Teacher
Teacher3,Teacher3,directed,user_graph,6,0,0,0,6,Teacher
Teacher3,Teacher3,directed,user_graph,6,0,0,0,6,Teacher
Teacher6,Teacher6,directed,user_graph,6,0,0,0,6,Teacher
Teacher6,Teacher6,directed,user_graph,6,0,0,0,6,Teacher
Teacher6,Teacher6,directed,user_graph,6,0,0,0,6,Teacher
Teacher6,Teacher6,directed,user_graph,6,0,0,0,6,Teacher
Teacher6,Teacher6,directed,user_graph,6,0,0,1,7,Teacher
Teacher6,Teacher6,directed,user_graph,6,0,0,1,7,Teacher
Student71,Teacher6,directed,user_graph,6,0,0,0,6,Student
Teacher6,Teacher6,directed,user_graph,6,0,0,0,6,Teacher
Teacher6,Teacher6,directed,user_graph,6,0,0,0,6,Teacher
Teacher6,Teacher6,directed,user_graph,6,0,0,0,6,Teacher
Teacher6,Teacher6,directed,user_graph,6,0,0,0,6,Teacher
Teacher6,Teacher6,directed,user_graph,6,0,0,0,6,Teacher
Student45,Teacher2,directed,user_graph,6,0,0,0,6,Student
Student88,Teacher2,directed,user_graph,6,0,0,0,6,Student
Student17,Teacher2,directed,user_graph,6,0,0,0,6,Student
Student76,Teacher2,directed,user_graph,6,0,0,0,6,Student
Student55,Teacher2,directed,user_graph,6,0,0,0,6,Student
Student71,Teacher2,directed,user_graph,6,0,0,0,6,Student
Student100,Student55,directed,user_graph,6,0,0,0,6,Student
Student86,Student32,directed,user_graph,6,0,0,0,6,Student
Student24,Student32,directed,user_graph,6,0,0,0,6,Student
Student35,Student32,directed,user_graph,6,0,0,0,6,Student
idfybvjfkFB,Student32,directed,user_graph,6,0,0,0,6,idfybvjfkFB
Student71,Student32,directed,user_graph,6,0,0,0,6,Student
Student41,Student32,directed,user_graph,6,0,0,0,6,Student
Student77,Student54,directed,user_graph,6,0,0,0,6,Student
Student3,Student54,directed,user_graph,6,0,0,0,6,Student
Student95,Student54,directed,user_graph,6,0,0,0,6,Student
Student11,Student54,directed,user_graph,6,0,0,0,6,Student
Student26,Student54,directed,user_graph,6,0,0,0,6,Student
Student71,Student54,directed,user_graph,6,0,0,0,6,Student
Student8,Student1,directed,user_graph,6,0,0,0,6,Student
Student87,Student1,directed,user_graph,6,0,0,0,6,Student
Student46,Student1,directed,user_graph,6,0,0,0,6,Student
Student95,Student1,directed,user_graph,6,0,0,0,6,Student
Student85,Student1,directed,user_graph,6,0,0,0,6,Student
Student68,Student1,directed,user_graph,6,0,0,0,6,Student
Student45,Teacher4,directed,user_graph,7,0,0,0,7,Student
Teacher4,Teacher4,directed,user_graph,7,0,0,0,7,Teacher
Student45,Teacher4,directed,user_graph,7,0,0,0,7,Student
Teacher4,Teacher4,directed,user_graph,7,0,0,0,7,Teacher
Teacher4,Teacher4,directed,user_graph,7,0,0,0,7,Teacher
Teacher4,Teacher4,directed,user_graph,7,0,0,0,7,Teacher
Teacher4,Teacher4,directed,user_graph,7,0,0,0,7,Teacher
Student22,Teacher4,directed,user_graph,7,0,0,0,7,Student
Teacher4,Teacher4,directed,user_graph,7,0,0,0,7,Teacher
Student22,Teacher4,directed,user_graph,7,0,0,0,7,Student
Teacher4,Teacher4,directed,user_graph,7,0,0,0,7,Teacher
Teacher4,Teacher4,directed,user_graph,7,0,0,0,7,Teacher
Teacher4,Teacher4,directed,user_graph,7,0,0,0,7,Teacher
Teacher4,Teacher4,directed,user_graph,7,0,0,0,7,Teacher
Student95,Teacher3,directed,user_graph,7,0,0,0,7,Student
Teacher3,Teacher3,directed,user_graph,7,0,0,0,7,Teacher
Teacher3,Teacher3,directed,user_graph,7,0,0,0,7,Teacher
Student95,Teacher3,directed,user_graph,7,0,0,0,7,Student
Teacher3,Teacher3,directed,user_graph,7,0,0,0,7,Teacher
Teacher3,Teacher3,directed,user_graph,7,0,0,0,7,Teacher
Teacher3,Teacher3,directed,user_graph,7,0,0,0,7,Teacher
Teacher3,Teacher3,directed,user_graph,7,0,0,1,8,Teacher
Teacher3,Teacher3,directed,user_graph,7,0,0,1,8,Teacher
Teacher3,Teacher3,directed,user_graph,7,0,0,1,8,Teacher
Misc2,Teacher3,directed,user_graph,7,0,0,1,8,Misc
Teacher3,Teacher3,directed,user_graph,7,0,0,1,8,Teacher
Teacher3,Teacher3,directed,user_graph,7,0,0,1,8,Teacher
Teacher3,Teacher3,directed,user_graph,7,0,0,1,8,Teacher
Teacher2,Teacher2,directed,user_graph,7,0,0,0,7,Teacher
Teacher2,Teacher2,directed,user_graph,7,0,0,0,7,Teacher
Teacher2,Teacher2,directed,user_graph,7,0,0,0,7,Teacher
Teacher2,Teacher2,directed,user_graph,7,0,0,0,7,Teacher
Teacher2,Teacher2,directed,user_graph,7,0,0,0,7,Teacher
Student13,Teacher2,directed,user_graph,7,0,0,0,7,Student
Student13,Teacher2,directed,user_graph,7,0,0,0,7,Student
Student101,Teacher3,directed,user_graph,7,0,0,0,7,Student
Student101,Teacher3,directed,user_graph,7,0,0,0,7,Student
Teacher3,Teacher3,directed,user_graph,7,0,0,0,7,Teacher
Teacher3,Teacher3,directed,user_graph,7,0,0,0,7,Teacher
Teacher3,Teacher3,directed,user_graph,7,0,0,0,7,Teacher
Teacher3,Teacher3,directed,user_graph,7,0,0,0,7,Teacher
Student101,Teacher3,directed,user_graph,7,0,0,0,7,Student
Student98,Teacher3,directed,user_graph,7,0,0,0,7,Student
Teacher3,Teacher3,directed,user_graph,7,0,0,0,7,Teacher
Teacher3,Teacher3,directed,user_graph,7,0,0,0,7,Teacher
Teacher3,Teacher3,directed,user_graph,7,0,0,0,7,Teacher
Teacher3,Teacher3,directed,user_graph,7,0,0,0,7,Teacher
Teacher3,Teacher3,directed,user_graph,7,0,0,0,7,Teacher
Teacher3,Teacher3,directed,user_graph,7,0,0,1,8,Teacher
Student14,Teacher7,directed,user_graph,7,0,0,0,7,Student
Student14,Teacher7,directed,user_graph,7,0,0,0,7,Student
Student14,Teacher7,directed,user_graph,7,0,0,0,7,Student
Student14,Teacher7,directed,user_graph,7,0,0,0,7,Student
Student14,Teacher7,directed,user_graph,7,0,0,0,7,Student
Teacher7,Teacher7,directed,user_graph,7,0,0,0,7,Teacher
Student14,Teacher7,directed,user_graph,7,0,0,1,8,Student
Student44,Teacher7,directed,user_graph,7,0,0,0,7,Student
Teacher7,Teacher7,directed,user_graph,7,0,0,0,7,Teacher
Teacher7,Teacher7,directed,user_graph,7,0,0,0,7,Teacher
Student44,Teacher7,directed,user_graph,7,0,0,0,7,Student
Teacher7,Teacher7,directed,user_graph,7,0,0,0,7,Teacher
Teacher7,Teacher7,directed,user_graph,7,0,0,0,7,Teacher
Teacher7,Teacher7,directed,user_graph,7,0,0,0,7,Teacher
Student80,Teacher7,directed,user_graph,7,0,0,0,7,Student
Teacher7,Teacher7,directed,user_graph,7,0,0,0,7,Teacher
Teacher7,Teacher7,directed,user_graph,7,0,0,0,7,Teacher
Student80,Teacher7,directed,user_graph,7,0,0,1,8,Student
Teacher7,Teacher7,directed,user_graph,7,0,0,0,7,Teacher
Teacher7,Teacher7,directed,user_graph,7,0,0,0,7,Teacher
Teacher7,Teacher7,directed,user_graph,7,0,0,0,7,Teacher
Student66,Teacher7,directed,user_graph,7,0,0,0,7,Student
Teacher7,Teacher7,directed,user_graph,7,0,0,0,7,Teacher
Teacher7,Teacher7,directed,user_graph,7,0,0,0,7,Teacher
Teacher7,Teacher7,directed,user_graph,7,0,0,0,7,Teacher
Teacher7,Teacher7,directed,user_graph,7,0,0,0,7,Teacher
Teacher7,Teacher7,directed,user_graph,7,0,0,1,8,Teacher
Teacher7,Teacher7,directed,user_graph,7,0,0,1,8,Teacher
Student72,Teacher6,directed,user_graph,7,0,0,0,7,Student
Student72,Teacher6,directed,user_graph,7,0,0,0,7,Student
Teacher6,Teacher6,directed,user_graph,7,0,0,0,7,Teacher
Teacher6,Teacher6,directed,user_graph,7,0,0,0,7,Teacher
Teacher6,Teacher6,directed,user_graph,7,0,0,0,7,Teacher
Teacher6,Teacher6,directed,user_graph,7,0,0,0,7,Teacher
Teacher6,Teacher6,directed,user_graph,7,0,0,1,8,Teacher
Student38,Student65,directed,user_graph,7,0,0,0,7,Student
Student24,Student65,directed,user_graph,7,0,0,0,7,Student
Student43,Teacher1,directed,user_graph,7,0,0,0,7,Student
Student43,Teacher1,directed,user_graph,7,0,0,0,7,Student
Teacher1,Teacher1,directed,user_graph,7,0,0,0,7,Teacher
Teacher1,Teacher1,directed,user_graph,7,0,0,0,7,Teacher
Teacher1,Teacher1,directed,user_graph,7,0,0,0,7,Teacher
Teacher1,Teacher1,directed,user_graph,7,0,0,0,7,Teacher
Teacher1,Teacher1,directed,user_graph,7,0,0,0,7,Teacher
Student25,Teacher1,directed,user_graph,7,0,0,0,7,Student
Teacher1,Teacher1,directed,user_graph,7,0,0,0,7,Teacher
Student25,Teacher1,directed,user_graph,7,0,0,0,7,Student
Teacher1,Teacher1,directed,user_graph,7,0,0,0,7,Teacher
Teacher1,Teacher1,directed,user_graph,7,0,0,0,7,Teacher
Teacher1,Teacher1,directed,user_graph,7,0,0,0,7,Teacher
Teacher1,Teacher1,directed,user_graph,7,0,0,0,7,Teacher
Student86,Teacher1,directed,user_graph,7,0,0,0,7,Student
Student86,Teacher1,directed,user_graph,7,0,0,0,7,Student
Student86,Teacher1,directed,user_graph,7,0,0,0,7,Student
Teacher1,Teacher1,directed,user_graph,7,0,0,0,7,Teacher
Teacher1,Teacher1,directed,user_graph,7,0,0,0,7,Teacher
Teacher1,Teacher1,directed,user_graph,7,0,0,0,7,Teacher
Teacher1,Teacher1,directed,user_graph,7,0,0,0,7,Teacher
Teacher1,Teacher1,directed,user_graph,7,0,0,0,7,Teacher
Teacher1,Teacher1,directed,user_graph,7,0,0,0,7,Teacher
Teacher1,Teacher1,directed,user_graph,7,0,0,0,7,Teacher
Teacher1,Teacher1,directed,user_graph,7,0,0,0,7,Teacher
