id,asks,answers,posts,views,days,type,Student ID,label,Personal Statement [2],Assignment 1 [2],Assignment 2 [2],Mini-Proposal [2],Personal Question [2],Proposal -- First Draft [2],Proposal -- Final Draft [2],Progress Report [1],Trailer [2],Final Project [2],Project Paper [2],Project Presentation [2],Final Grade,grade_bucket,id,label,user_type,type_data
Student33,1,0,43,343,61,student,Student33,Student33,1,1,1,2,2,1,1,1,1,2,2,2,0.739130435,c,Student33,Student33,Student,user_graph
Student51,2,1,179,344,72,student,Student51,Student51,1,1,1,2,1,2,2,,1,2,2,2,0.739130435,c,Student51,Student51,Student,user_graph
Student8,3,0,177,205,57,student,Student8,Student8,2,1,2,2,1,1,2,1,2,,,,0.608695652,d,Student8,Student8,Student,user_graph
Student59,0,0,33,234,63,student,Student59,Student59,2,1,1,1,1,1,1,1,1,2,1,2,0.652173913,d,Student59,Student59,Student,user_graph
Student63,0,0,23,259,69,student,Student63,Student63,1,1,1,2,1,1,1,1,1,,,,0.434782609,d,Student63,Student63,Student,user_graph
Student82,0,0,68,259,62,student,Student82,Student82,2,2,1,2,1,1,2,1,1,1,1,1,0.695652174,d,Student82,Student82,Student,user_graph
Student58,1,1,42,109,64,student,Student58,Student58,1,1,1,2,2,2,2,1,2,,,,0.608695652,d,Student58,Student58,Student,user_graph
Student86,6,2,57,323,68,student,Student86,Student86,2,1,2,1,1,1,1,1,1,2,2,2,0.739130435,c,Student86,Student86,Student,user_graph
Student101,0,1,63,215,45,student,Student101,Student101,1,1,1,1,2,1,1,1,1,2,1,1,0.608695652,d,Student101,Student101,Student,user_graph
Student75,1,4,31,79,37,student,Student75,Student75,1,1,2,2,1,2,2,1,1,2,1,1,0.739130435,c,Student75,Student75,Student,user_graph
Student15,0,0,14,54,28,student,Student15,Student15,1,1,2,1,1,1,1,0,1,1,1,1,0.52173913,d,Student15,Student15,Student,user_graph
Student64,2,1,31,321,50,student,Student64,Student64,1,1,1,1,2,1,1,1,1,2,2,2,0.695652174,d,Student64,Student64,Student,user_graph
Student65,3,4,112,246,70,student,Student65,Student65,2,1,2,1,1,2,2,1,2,,,,0.608695652,d,Student65,Student65,Student,user_graph
Student40,6,1,48,265,37,student,Student40,Student40,1,1,1,1,1,1,1,1,1,1,0,1,0.47826087,d,Student40,Student40,Student,user_graph
Student3,2,0,78,139,40,student,Student3,Student3,1,1,2,1,1,1,1,1,1,1,2,2,0.652173913,d,Student3,Student3,Student,user_graph
Student43,0,0,64,342,51,student,Student43,Student43,1,1,2,1,1,1,2,1,1,1,2,1,0.652173913,d,Student43,Student43,Student,user_graph
Student35,0,0,65,342,72,student,Student35,Student35,1,2,2,2,2,2,2,1,1,2,2,1,0.869565217,b,Student35,Student35,Student,user_graph
Student16,2,0,32,100,57,student,Student16,Student16,1,1,1,1,1,1,1,1,2,,,,0.434782609,d,Student16,Student16,Student,user_graph
Student97,1,0,14,92,53,student,Student97,Student97,1,2,1,1,1,1,2,1,1,1,1,1,0.608695652,d,Student97,Student97,Student,user_graph
Student99,1,0,30,339,52,student,Student99,Student99,1,1,1,1,1,1,1,1,1,1,2,1,0.565217391,d,Student99,Student99,Student,user_graph
Student10,3,0,71,305,67,student,Student10,Student10,2,2,2,2,2,2,2,1,1,2,2,2,0.956521739,a,Student10,Student10,Student,user_graph
Student32,0,3,86,293,69,student,Student32,Student32,1,1,1,1,1,2,2,1,2,,,,0.52173913,d,Student32,Student32,Student,user_graph
Teacher6,0,2,235,112,49,teacher,,,,,,,,,,,,,,,,,Teacher6,Teacher6,Teacher,user_graph
Student53,0,1,31,210,68,student,Student53,Student53,1,1,2,1,2,2,2,1,1,2,2,2,0.826086957,b,Student53,Student53,Student,user_graph
Student21,1,1,27,317,64,student,Student21,Student21,1,1,1,1,1,2,2,2,2,2,2,2,0.826086957,b,Student21,Student21,Student,user_graph
Student54,2,0,77,342,57,student,Student54,Student54,1,2,1,1,1,2,2,1,2,,,,0.565217391,d,Student54,Student54,Student,user_graph
