User Name,Order of Submission (1=first),Final Score,Question 1 text,Question 2 text,Question 3 text,Question 4 text,Question 5 text,Question 6 text,Question 7 text,Question 8 text,Question 9 text,Question 10 text,Question 11 text,Question 12 text,Question 13 text,Question 14 text,Question 15 text,Question 16 text,Question 17 text,Question 18 text,Question 19 text,Question 20 text,Question 21 text,Question 22 text,Question 23 text,Question 24 text,Question 25 text,Question 26 text,Question 27 text,Question 28 text,Question 29 text,Question 30 text,Question 31 text,Question 32 text,Question 33 text,Question 34 text
User359,1,0,Somewhat confident,18 - 21 hours per week,15 to 20,Most of them,Multiple times daily,5 - A Little Too Fast,5 - A Little Too Hard,6 - Agree,6 - Agree,6 - Agree,6 - Agree,6 - Agree,7 - Strongly Agree,On Piazza|Via E-Mail,No Answer,3 - Occasionally,3 - Occasionally,1 - Never,2 - Rarely,3 - Occasionally,3 - Occasionally,2 - Rarely,1 - Never,4 - Frequently,3 - Occasionally,Never,Never,4 - About the Same as other OMS classes,5 - A Little Better than non-OMS online classes.,5 - A Little Better than other college courses.,4 - About the Same as other OMS classes,5 - A Little Better than non-OMS online classes.,5 - A Little Better than other college courses.,7 - Excellent
User355,1,0,Somewhat confident,9 - 12 hours per week,All 26,All of them,Once per day,6 - Too Fast,4 - About Right,5 - Agree Slightly,5 - Agree Slightly,5 - Agree Slightly,6 - Agree,6 - Agree,5 - Agree Slightly,On Piazza,No Answer,1 - Never,2 - Rarely,2 - Rarely,1 - Never,4 - Frequently,2 - Rarely,3 - Occasionally,1 - Never,3 - Occasionally,5 - Always,Never,Never,5 - A Little Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Significantly Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Very Good
User123,1,0,Very unconfident,9 - 12 hours per week,All 26,Around half of them,A few times a week,5 - A Little Too Fast,5 - A Little Too Hard,6 - Agree,7 - Strongly Agree,6 - Agree,7 - Strongly Agree,6 - Agree,6 - Agree,On Piazza,No Answer,2 - Rarely,2 - Rarely,4 - Frequently,3 - Occasionally,3 - Occasionally,3 - Occasionally,4 - Frequently,3 - Occasionally,3 - Occasionally,1 - Never,Never,Occasionally,5 - A Little Better than other OMS classes,5 - A Little Better than non-OMS online classes.,6 - Significantly Better than other college courses.,5 - A Little Better than other OMS classes,5 - A Little Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Very Good
User125,1,0,Somewhat unconfident,9 - 12 hours per week,All 26,All of them,A few times a week,4 - About Right,4 - About Right,6 - Agree,6 - Agree,6 - Agree,6 - Agree,6 - Agree,4 - Neither Agree nor Disagree,On Piazza,No Answer,3 - Occasionally,1 - Never,4 - Frequently,2 - Rarely,4 - Frequently,2 - Rarely,4 - Frequently,1 - Never,4 - Frequently,3 - Occasionally,Never,Never,6 - Significantly Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Significantly Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,7 - Excellent
User285,1,0,Somewhat unconfident,12 - 15 hours per week,All 26,Around half of them,Multiple times daily,4 - About Right,4 - About Right,7 - Strongly Agree,6 - Agree,6 - Agree,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,On Piazza,No Answer,4 - Frequently,3 - Occasionally,1 - Never,3 - Occasionally,4 - Frequently,3 - Occasionally,3 - Occasionally,3 - Occasionally,4 - Frequently,3 - Occasionally,Never,Never,4 - About the Same as other OMS classes,N/A - I have not taken any non-OMS online classes.,4 - About the Same as other college courses.,4 - About the Same as other OMS classes,N/A - I have not taken any non-OMS online classes.,4 - About the Same as other college courses.,7 - Excellent
User126,1,0,Somewhat unconfident,21 or more hours per week,All 26,All of them,Multiple times daily,5 - A Little Too Fast,4 - About Right,6 - Agree,6 - Agree,6 - Agree,6 - Agree,5 - Agree Slightly,5 - Agree Slightly,No Answer,No Answer,1 - Never,3 - Occasionally,2 - Rarely,2 - Rarely,4 - Frequently,2 - Rarely,4 - Frequently,2 - Rarely,3 - Occasionally,5 - Always,Occasionally,Never,4 - About the Same as other OMS classes,5 - A Little Better than non-OMS online classes.,5 - A Little Better than other college courses.,5 - A Little Better than other OMS classes,5 - A Little Better than non-OMS online classes.,5 - A Little Better than other college courses.,6 - Very Good
User51,1,0,Somewhat confident,12 - 15 hours per week,20 to 25,Most of them,Once per day,5 - A Little Too Fast,No Answer,6 - Agree,5 - Agree Slightly,5 - Agree Slightly,7 - Strongly Agree,7 - Strongly Agree,3 - Disagree Slightly,On Piazza,No Answer,1 - Never,4 - Frequently,1 - Never,3 - Occasionally,3 - Occasionally,1 - Never,4 - Frequently,1 - Never,4 - Frequently,4 - Frequently,Never,Frequently,6 - Significantly Better than other OMS classes,No Answer,6 - Significantly Better than other college courses.,6 - Significantly Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Very Good
User129,1,0,Somewhat confident,18 - 21 hours per week,All 26,All of them,A few times a week,4 - About Right,4 - About Right,6 - Agree,5 - Agree Slightly,4 - Neither Agree nor Disagree,5 - Agree Slightly,6 - Agree,6 - Agree,On Piazza,No Answer,1 - Never,4 - Frequently,2 - Rarely,1 - Never,3 - Occasionally,2 - Rarely,4 - Frequently,1 - Never,4 - Frequently,5 - Always,Never,Never,4 - About the Same as other OMS classes,6 - Significantly Better than non-OMS online classes.,4 - About the Same as other college courses.,4 - About the Same as other OMS classes,6 - Significantly Better than non-OMS online classes.,5 - A Little Better than other college courses.,5 - Good
User297,No submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User130,1,0,Somewhat confident,6 - 9 hours per week,All 26,All of them,A few times a week,4 - About Right,4 - About Right,7 - Strongly Agree,6 - Agree,7 - Strongly Agree,7 - Strongly Agree,5 - Agree Slightly,4 - Neither Agree nor Disagree,On Piazza|Via the OMS Google Plus group,No Answer,1 - Never,1 - Never,2 - Rarely,1 - Never,3 - Occasionally,3 - Occasionally,4 - Frequently,1 - Never,4 - Frequently,4 - Frequently,Never,Never,6 - Significantly Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,5 - A Little Better than other college courses.,6 - Significantly Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,5 - A Little Better than other college courses.,7 - Excellent
User339,No submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User52,No submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User131,1,0,Very confident,21 or more hours per week,20 to 25,Most of them,Multiple times daily,5 - A Little Too Fast,4 - About Right,5 - Agree Slightly,4 - Neither Agree nor Disagree,4 - Neither Agree nor Disagree,5 - Agree Slightly,7 - Strongly Agree,5 - Agree Slightly,On Piazza,No Answer,4 - Frequently,3 - Occasionally,3 - Occasionally,3 - Occasionally,3 - Occasionally,2 - Rarely,3 - Occasionally,3 - Occasionally,4 - Frequently,2 - Rarely,Never,Frequently,6 - Significantly Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,6 - Significantly Better than other college courses.,7 - Enormously Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,7 - Enormously Better than other college courses.,7 - Excellent
User132,1,0,Very confident,18 - 21 hours per week,All 26,All of them,Multiple times daily,5 - A Little Too Fast,4 - About Right,6 - Agree,7 - Strongly Agree,6 - Agree,7 - Strongly Agree,6 - Agree,6 - Agree,On Piazza,na,1 - Never,5 - Always,4 - Frequently,1 - Never,3 - Occasionally,2 - Rarely,3 - Occasionally,1 - Never,4 - Frequently,5 - Always,Never,Rarely,5 - A Little Better than other OMS classes,5 - A Little Better than non-OMS online classes.,5 - A Little Better than other college courses.,5 - A Little Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,5 - A Little Better than other college courses.,6 - Very Good
User133,1,0,Very confident,12 - 15 hours per week,20 to 25,Most of them,A few times a week,5 - A Little Too Fast,4 - About Right,6 - Agree,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,4 - Neither Agree nor Disagree,On Piazza,No Answer,3 - Occasionally,3 - Occasionally,2 - Rarely,1 - Never,4 - Frequently,2 - Rarely,4 - Frequently,1 - Never,4 - Frequently,3 - Occasionally,Never,Rarely,6 - Significantly Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Significantly Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,6 - Significantly Better than other college courses.,7 - Excellent
User298,1,0,Very unconfident,15 - 18 hours per week,All 26,Most of them,Once per day,5 - A Little Too Fast,4 - About Right,5 - Agree Slightly,3 - Disagree Slightly,4 - Neither Agree nor Disagree,4 - Neither Agree nor Disagree,6 - Agree,6 - Agree,On Piazza|Via HipChat,No Answer,1 - Never,2 - Rarely,3 - Occasionally,2 - Rarely,3 - Occasionally,2 - Rarely,3 - Occasionally,3 - Occasionally,4 - Frequently,1 - Never,Rarely,Frequently,4 - About the Same as other OMS classes,5 - A Little Better than non-OMS online classes.,4 - About the Same as other college courses.,5 - A Little Better than other OMS classes,5 - A Little Better than non-OMS online classes.,5 - A Little Better than other college courses.,6 - Very Good
User134,1,0,Somewhat confident,9 - 12 hours per week,All 26,A few of them,A few times a week,3 - A Little Too Slow,4 - About Right,7 - Strongly Agree,6 - Agree,7 - Strongly Agree,6 - Agree,7 - Strongly Agree,7 - Strongly Agree,On Piazza,No Answer,3 - Occasionally,2 - Rarely,2 - Rarely,3 - Occasionally,1 - Never,3 - Occasionally,4 - Frequently,2 - Rarely,4 - Frequently,2 - Rarely,Rarely,Always,6 - Significantly Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Significantly Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Very Good
User53,1,0,Somewhat confident,12 - 15 hours per week,All 26,All of them,Multiple times daily,4 - About Right,4 - About Right,6 - Agree,6 - Agree,6 - Agree,6 - Agree,7 - Strongly Agree,7 - Strongly Agree,On Piazza|Via HipChat,No Answer,2 - Rarely,2 - Rarely,4 - Frequently,1 - Never,2 - Rarely,1 - Never,3 - Occasionally,1 - Never,4 - Frequently,5 - Always,Never,Never,5 - A Little Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Significantly Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,7 - Excellent
User340,No submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User135,1,0,Somewhat confident,15 - 18 hours per week,5 to 10,None of them,Multiple times daily,4 - About Right,4 - About Right,4 - Neither Agree nor Disagree,4 - Neither Agree nor Disagree,4 - Neither Agree nor Disagree,3 - Disagree Slightly,7 - Strongly Agree,7 - Strongly Agree,On Piazza,No Answer,5 - Always,5 - Always,1 - Never,1 - Never,3 - Occasionally,1 - Never,1 - Never,5 - Always,1 - Never,1 - Never,Never,Occasionally,3 - Not Quite as Good as other OMS classes,3 - Not Quite as Good as non-OMS online classes.,5 - A Little Better than other college courses.,5 - A Little Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,7 - Enormously Better than other college courses.,7 - Excellent
User54,1,0,Somewhat unconfident,21 or more hours per week,All 26,Most of them,Multiple times daily,6 - Too Fast,4 - About Right,7 - Strongly Agree,5 - Agree Slightly,5 - Agree Slightly,6 - Agree,7 - Strongly Agree,7 - Strongly Agree,On Piazza|Via the OMS Google Plus group,No Answer,2 - Rarely,3 - Occasionally,3 - Occasionally,4 - Frequently,4 - Frequently,3 - Occasionally,4 - Frequently,3 - Occasionally,4 - Frequently,3 - Occasionally,Frequently,Frequently,7 - Enormously Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,7 - Enormously Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,7 - Enormously Better than other college courses.,7 - Excellent
User15,1,0,Somewhat confident,15 - 18 hours per week,20 to 25,A few of them,Multiple times daily,4 - About Right,4 - About Right,5 - Agree Slightly,4 - Neither Agree nor Disagree,1 - Strongly Disagree,6 - Agree,7 - Strongly Agree,5 - Agree Slightly,On Piazza,No Answer,1 - Never,2 - Rarely,2 - Rarely,2 - Rarely,3 - Occasionally,1 - Never,1 - Never,4 - Frequently,1 - Never,1 - Never,Always,Always,5 - A Little Better than other OMS classes,5 - A Little Better than non-OMS online classes.,5 - A Little Better than other college courses.,5 - A Little Better than other OMS classes,5 - A Little Better than non-OMS online classes.,3 - Not Quite as Good as other college courses.,5 - Good
User316,1,0,Somewhat confident,9 - 12 hours per week,20 to 25,Most of them,Once per day,4 - About Right,4 - About Right,6 - Agree,5 - Agree Slightly,4 - Neither Agree nor Disagree,6 - Agree,7 - Strongly Agree,4 - Neither Agree nor Disagree,On Piazza,No Answer,1 - Never,3 - Occasionally,1 - Never,3 - Occasionally,4 - Frequently,3 - Occasionally,3 - Occasionally,1 - Never,3 - Occasionally,2 - Rarely,Frequently,Never,4 - About the Same as other OMS classes,N/A - I have not taken any non-OMS online classes.,4 - About the Same as other college courses.,4 - About the Same as other OMS classes,4 - About the Same as non-OMS online classes.,5 - A Little Better than other college courses.,5 - Good
User55,1,0,Neither confident nor unconfident,9 - 12 hours per week,All 26,All of them,Once per week,4 - About Right,4 - About Right,7 - Strongly Agree,6 - Agree,7 - Strongly Agree,7 - Strongly Agree,4 - Neither Agree nor Disagree,6 - Agree,On Piazza,No Answer,1 - Never,2 - Rarely,3 - Occasionally,2 - Rarely,4 - Frequently,1 - Never,5 - Always,1 - Never,4 - Frequently,4 - Frequently,Never,Never,7 - Enormously Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,6 - Significantly Better than other college courses.,7 - Enormously Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Very Good
User299,1,0,Somewhat confident,12 - 15 hours per week,All 26,All of them,Once per week,5 - A Little Too Fast,4 - About Right,6 - Agree,6 - Agree,6 - Agree,7 - Strongly Agree,6 - Agree,4 - Neither Agree nor Disagree,On Piazza,No Answer,2 - Rarely,2 - Rarely,2 - Rarely,1 - Never,3 - Occasionally,2 - Rarely,3 - Occasionally,2 - Rarely,4 - Frequently,4 - Frequently,Never,Never,6 - Significantly Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Significantly Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Very Good
User317,1,0,Somewhat confident,12 - 15 hours per week,20 to 25,A few of them,Multiple times daily,5 - A Little Too Fast,5 - A Little Too Hard,6 - Agree,6 - Agree,5 - Agree Slightly,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,On Piazza,No Answer,3 - Occasionally,4 - Frequently,1 - Never,3 - Occasionally,4 - Frequently,4 - Frequently,2 - Rarely,4 - Frequently,3 - Occasionally,1 - Never,Rarely,Always,6 - Significantly Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,7 - Enormously Better than other college courses.,5 - A Little Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,7 - Enormously Better than other college courses.,7 - Excellent
User137,1,0,Very confident,9 - 12 hours per week,All 26,Around half of them,Once per week,4 - About Right,4 - About Right,6 - Agree,6 - Agree,6 - Agree,6 - Agree,6 - Agree,3 - Disagree Slightly,On Piazza|Via E-Mail,No Answer,1 - Never,2 - Rarely,4 - Frequently,1 - Never,2 - Rarely,4 - Frequently,3 - Occasionally,3 - Occasionally,4 - Frequently,1 - Never,Never,Never,6 - Significantly Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,6 - Significantly Better than other college courses.,5 - A Little Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Very Good
User318,No submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User300,1,0,Very confident,12 - 15 hours per week,All 26,All of them,Multiple times daily,4 - About Right,4 - About Right,7 - Strongly Agree,6 - Agree,6 - Agree,6 - Agree,7 - Strongly Agree,7 - Strongly Agree,On Piazza|Via E-Mail,No Answer,3 - Occasionally,2 - Rarely,3 - Occasionally,2 - Rarely,3 - Occasionally,1 - Never,2 - Rarely,1 - Never,4 - Frequently,4 - Frequently,Never,Never,5 - A Little Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Significantly Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Very Good
User138,1,0,Somewhat confident,12 - 15 hours per week,15 to 20,Around half of them,Once per week,3 - A Little Too Slow,4 - About Right,4 - Neither Agree nor Disagree,3 - Disagree Slightly,5 - Agree Slightly,5 - Agree Slightly,6 - Agree,3 - Disagree Slightly,On Piazza|Via E-Mail,No Answer,2 - Rarely,1 - Never,4 - Frequently,2 - Rarely,4 - Frequently,2 - Rarely,3 - Occasionally,3 - Occasionally,3 - Occasionally,4 - Frequently,Frequently,Rarely,4 - About the Same as other OMS classes,4 - About the Same as non-OMS online classes.,5 - A Little Better than other college courses.,2 - Not as Good as other OMS classes,4 - About the Same as non-OMS online classes.,5 - A Little Better than other college courses.,5 - Good
User375,No submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User319,1,0,Neither confident nor unconfident,9 - 12 hours per week,15 to 20,Around half of them,Once a month,4 - About Right,4 - About Right,6 - Agree,5 - Agree Slightly,6 - Agree,6 - Agree,5 - Agree Slightly,6 - Agree,On Piazza|Via E-Mail|Meeting in Person,No Answer,2 - Rarely,4 - Frequently,1 - Never,2 - Rarely,3 - Occasionally,3 - Occasionally,3 - Occasionally,3 - Occasionally,5 - Always,4 - Frequently,Rarely,Never,5 - A Little Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,5 - A Little Better than other college courses.,6 - Significantly Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,5 - A Little Better than other college courses.,6 - Very Good
User42,No submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User139,1,0,Somewhat confident,18 - 21 hours per week,20 to 25,A few of them,A few times a week,4 - About Right,4 - About Right,7 - Strongly Agree,5 - Agree Slightly,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,2 - Disagree,On Piazza,No Answer,4 - Frequently,3 - Occasionally,3 - Occasionally,4 - Frequently,4 - Frequently,3 - Occasionally,2 - Rarely,4 - Frequently,3 - Occasionally,2 - Rarely,Frequently,Rarely,6 - Significantly Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,7 - Enormously Better than other college courses.,6 - Significantly Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,7 - Enormously Better than other college courses.,7 - Excellent
User376,No submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User286,1,0,Somewhat confident,9 - 12 hours per week,All 26,All of them,Once per day,5 - A Little Too Fast,5 - A Little Too Hard,6 - Agree,6 - Agree,6 - Agree,6 - Agree,6 - Agree,4 - Neither Agree nor Disagree,On Piazza,N/A,1 - Never,3 - Occasionally,3 - Occasionally,2 - Rarely,4 - Frequently,3 - Occasionally,2 - Rarely,1 - Never,4 - Frequently,4 - Frequently,Never,Occasionally,7 - Enormously Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,5 - A Little Better than other college courses.,6 - Significantly Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,5 - A Little Better than other college courses.,6 - Very Good
User140,1,0,Very confident,9 - 12 hours per week,All 26,All of them,A few times a week,5 - A Little Too Fast,4 - About Right,7 - Strongly Agree,6 - Agree,7 - Strongly Agree,7 - Strongly Agree,6 - Agree,5 - Agree Slightly,On Piazza,No Answer,1 - Never,3 - Occasionally,1 - Never,5 - Always,3 - Occasionally,2 - Rarely,4 - Frequently,1 - Never,4 - Frequently,1 - Never,Never,Occasionally,6 - Significantly Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,N/A - I have not taken any college courses outside the OMS.,5 - A Little Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,N/A - I have not taken any college courses outside the OMS.,7 - Excellent
User142,1,0,Very confident,12 - 15 hours per week,20 to 25,All of them,A few times a week,5 - A Little Too Fast,5 - A Little Too Hard,6 - Agree,3 - Disagree Slightly,5 - Agree Slightly,7 - Strongly Agree,6 - Agree,7 - Strongly Agree,On Piazza,No Answer,3 - Occasionally,3 - Occasionally,2 - Rarely,3 - Occasionally,5 - Always,1 - Never,4 - Frequently,1 - Never,4 - Frequently,1 - Never,Never,Rarely,4 - About the Same as other OMS classes,5 - A Little Better than non-OMS online classes.,6 - Significantly Better than other college courses.,4 - About the Same as other OMS classes,5 - A Little Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Very Good
User143,1,0,Neither confident nor unconfident,9 - 12 hours per week,All 26,All of them,Multiple times daily,3 - A Little Too Slow,5 - A Little Too Hard,6 - Agree,6 - Agree,6 - Agree,6 - Agree,6 - Agree,6 - Agree,On Piazza|Via HipChat,No Answer,1 - Never,1 - Never,4 - Frequently,3 - Occasionally,3 - Occasionally,3 - Occasionally,4 - Frequently,2 - Rarely,4 - Frequently,3 - Occasionally,Never,Rarely,5 - A Little Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,4 - About the Same as other college courses.,5 - A Little Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Very Good
