User Name,Order of Submission (1=first),Final Score,Question 1 text,Question 2 text,Question 3 text,Question 4 text,Question 5 text,Question 6 text,Question 7 text,Question 8 text,Question 9 text,Question 10 text,Question 11 text,Question 12 text,Question 13 text,Question 15 text,Question 16 text,Question 17 text,Question 18 text,Question 19 text,Question 20 text,Question 21 text
User51,1,0,CS8803: AI for Robotics|CS6300: Software Development Processes,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Somewhat confident,Somewhat confident,5 - A Little Too Fast,5 - A Little Too Hard,7 - Strongly Agree,5 - Agree Slightly,5 - Agree Slightly,No Answer,6 - Agree,6 - Agree,On Piazza,4 - About the Same as other OMS classes,4 - About the Same as non-OMS online classes.,5 - A Little Better than other college courses.,5 - A Little Better than other OMS classes,4 - About the Same as non-OMS online classes.,5 - A Little Better than other college courses.,6 - Very Good
User129,1,0,"CS6300: Software Development Processes|CS6250: Computer NetworLast192|CS6505: Computability, Complexity & Algorithms|CS8803: Introduction to Operating Systems",My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Somewhat confident,Somewhat unconfident,4 - About Right,4 - About Right,6 - Agree,6 - Agree,6 - Agree,6 - Agree,6 - Agree,6 - Agree,On Piazza,4 - About the Same as other OMS classes,4 - About the Same as non-OMS online classes.,4 - About the Same as other college courses.,4 - About the Same as other OMS classes,6 - Significantly Better than non-OMS online classes.,4 - About the Same as other college courses.,5 - Good
User297,No submission,,,,,,,,,,,,,,,,,,,,,
User130,1,0,CS6300: Software Development Processes|CS6310: Software Architecture and Design|CS6440: Health Informatics|CS8803: Introduction to Operating Systems,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Very confident,Somewhat unconfident,4 - About Right,4 - About Right,7 - Strongly Agree,6 - Agree,7 - Strongly Agree,7 - Strongly Agree,5 - Agree Slightly,4 - Neither Agree nor Disagree,On Piazza|Via E-Mail|Via the OMS Google Plus group,6 - Significantly Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,5 - A Little Better than other college courses.,6 - Significantly Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,5 - A Little Better than other college courses.,6 - Very Good
User339,No submission,,,,,,,,,,,,,,,,,,,,,
User52,1,0,CS6300: Software Development Processes|CS6250: Computer NetworLast192,"My agent primarily used verbal representations, although it also used the visual representations in some places.",Very unconfident,Very unconfident,6 - Too Fast,5 - A Little Too Hard,6 - Agree,5 - Agree Slightly,5 - Agree Slightly,7 - Strongly Agree,5 - Agree Slightly,5 - Agree Slightly,On Piazza,6 - Significantly Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,5 - A Little Better than other college courses.,6 - Significantly Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,4 - About the Same as other college courses.,5 - Good
User131,1,0,CS6310: Software Architecture and Design|CS6475: Computational Photography,My agent used visual representations exclusively; I did not even touch the verbal representations after Project 1's deadline.,Very confident,Very confident,4 - About Right,4 - About Right,5 - Agree Slightly,4 - Neither Agree nor Disagree,4 - Neither Agree nor Disagree,5 - Agree Slightly,6 - Agree,5 - Agree Slightly,On Piazza,6 - Significantly Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Significantly Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,7 - Excellent
User132,1,0,CS6250: Computer NetworLast192|CS8803: Introduction to Operating Systems,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Very confident,Somewhat confident,5 - A Little Too Fast,4 - About Right,6 - Agree,6 - Agree,5 - Agree Slightly,6 - Agree,7 - Strongly Agree,5 - Agree Slightly,On Piazza,5 - A Little Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,6 - Significantly Better than other college courses.,5 - A Little Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Very Good
User133,1,0,CS6300: Software Development Processes|CS6250: Computer NetworLast192,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Somewhat confident,Neither confident nor unconfident,4 - About Right,4 - About Right,6 - Agree,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,5 - Agree Slightly,On Piazza,7 - Enormously Better than other OMS classes,5 - A Little Better than non-OMS online classes.,6 - Significantly Better than other college courses.,7 - Enormously Better than other OMS classes,5 - A Little Better than non-OMS online classes.,5 - A Little Better than other college courses.,7 - Excellent
User298,1,0,CS6300: Software Development Processes|CS6250: Computer NetworLast192|CS6440: Health Informatics,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,No Answer,Somewhat confident,6 - Too Fast,5 - A Little Too Hard,No Answer,2 - Disagree,2 - Disagree,3 - Disagree Slightly,6 - Agree,5 - Agree Slightly,On Piazza|Via HipChat,4 - About the Same as other OMS classes,5 - A Little Better than non-OMS online classes.,3 - Not Quite as Good as other college courses.,5 - A Little Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,4 - About the Same as other college courses.,No Answer
User134,No submission,,,,,,,,,,,,,,,,,,,,,
User53,1,0,CS8803: AI for Robotics|CS7641: Machine Learning|CS6210: Advanced Operating Systems|CS6310: Software Architecture and Design|CS6290: High-Performance Computer Architecture|CS6475: Computational Photography,My agent used an even mix of verbal representations and visual representations.,Somewhat confident,Somewhat confident,4 - About Right,4 - About Right,6 - Agree,5 - Agree Slightly,5 - Agree Slightly,6 - Agree,7 - Strongly Agree,6 - Agree,On Piazza|Via HipChat,5 - A Little Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,5 - A Little Better than other college courses.,6 - Significantly Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Very Good
User340,No submission,,,,,,,,,,,,,,,,,,,,,
User135,1,0,CS4495: Computer Vision,My agent used visual representations exclusively; I did not even touch the verbal representations after Project 1's deadline.,Somewhat confident,Somewhat confident,4 - About Right,4 - About Right,3 - Disagree Slightly,2 - Disagree,2 - Disagree,1 - Strongly Disagree,7 - Strongly Agree,6 - Agree,On Piazza,3 - Not Quite as Good as other OMS classes,3 - Not Quite as Good as non-OMS online classes.,4 - About the Same as other college courses.,5 - A Little Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,7 - Enormously Better than other college courses.,6 - Very Good
User54,1,0,CS6250: Computer NetworLast192,"My agent primarily used visual representations, although it also used the verbal representations in some places.",Somewhat unconfident,Somewhat confident,6 - Too Fast,5 - A Little Too Hard,6 - Agree,3 - Disagree Slightly,3 - Disagree Slightly,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,On Piazza|Via the OMS Google Plus group,6 - Significantly Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,7 - Enormously Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,7 - Enormously Better than other college courses.,7 - Excellent
User15,1,0,CS8803: AI for Robotics|CS6250: Computer NetworLast192|CS6210: Advanced Operating Systems|CS8803: Introduction to Operating Systems,My agent used an even mix of verbal representations and visual representations.,Somewhat confident,Neither confident nor unconfident,4 - About Right,4 - About Right,4 - Neither Agree nor Disagree,4 - Neither Agree nor Disagree,4 - Neither Agree nor Disagree,4 - Neither Agree nor Disagree,5 - Agree Slightly,5 - Agree Slightly,On Piazza,5 - A Little Better than other OMS classes,4 - About the Same as non-OMS online classes.,4 - About the Same as other college courses.,5 - A Little Better than other OMS classes,4 - About the Same as non-OMS online classes.,4 - About the Same as other college courses.,4 - Fair
User316,1,0,CS7641: Machine Learning,My agent used visual representations exclusively; I did not even touch the verbal representations after Project 1's deadline.,Somewhat unconfident,Neither confident nor unconfident,6 - Too Fast,5 - A Little Too Hard,4 - Neither Agree nor Disagree,5 - Agree Slightly,5 - Agree Slightly,5 - Agree Slightly,6 - Agree,4 - Neither Agree nor Disagree,On Piazza,5 - A Little Better than other OMS classes,3 - Not Quite as Good as non-OMS online classes.,4 - About the Same as other college courses.,4 - About the Same as other OMS classes,4 - About the Same as non-OMS online classes.,4 - About the Same as other college courses.,5 - Good
User55,1,0,CS6310: Software Architecture and Design,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Very confident,Somewhat unconfident,4 - About Right,4 - About Right,7 - Strongly Agree,6 - Agree,7 - Strongly Agree,6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,On Piazza,7 - Enormously Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,6 - Significantly Better than other college courses.,7 - Enormously Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,5 - A Little Better than other college courses.,7 - Excellent
User299,1,0,CS7641: Machine Learning|CS6250: Computer NetworLast192,My agent used visual representations exclusively; I did not even touch the verbal representations after Project 1's deadline.,Very confident,Somewhat confident,6 - Too Fast,4 - About Right,6 - Agree,6 - Agree,6 - Agree,6 - Agree,5 - Agree Slightly,6 - Agree,On Piazza,6 - Significantly Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,6 - Significantly Better than other college courses.,5 - A Little Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,No Answer,5 - Good
User317,1,0,CS6310: Software Architecture and Design,"My agent primarily used verbal representations, although it also used the visual representations in some places.",Somewhat unconfident,Somewhat confident,5 - A Little Too Fast,5 - A Little Too Hard,7 - Strongly Agree,5 - Agree Slightly,5 - Agree Slightly,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,On Piazza,5 - A Little Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,6 - Significantly Better than other college courses.,5 - A Little Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Very Good
User137,1,0,CS6250: Computer NetworLast192|CS6210: Advanced Operating Systems,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Very unconfident,Somewhat unconfident,5 - A Little Too Fast,4 - About Right,5 - Agree Slightly,6 - Agree,6 - Agree,5 - Agree Slightly,5 - Agree Slightly,3 - Disagree Slightly,On Piazza,6 - Significantly Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,6 - Significantly Better than other college courses.,5 - A Little Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,5 - A Little Better than other college courses.,6 - Very Good
User318,1,0,No Answer,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Somewhat confident,Neither confident nor unconfident,4 - About Right,4 - About Right,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,6 - Agree,7 - Strongly Agree,On Piazza,N/A - I have not taken any other OMS classes.,N/A - I have not taken any non-OMS online classes.,5 - A Little Better than other college courses.,N/A - I have not taken any other OMS classes.,N/A - I have not taken any non-OMS online classes.,5 - A Little Better than other college courses.,7 - Excellent
User300,1,0,CS6250: Computer NetworLast192|CS6290: High-Performance Computer Architecture,My agent used an even mix of verbal representations and visual representations.,Very confident,Very confident,5 - A Little Too Fast,4 - About Right,7 - Strongly Agree,7 - Strongly Agree,6 - Agree,7 - Strongly Agree,6 - Agree,7 - Strongly Agree,On Piazza|Via the OMS Google Plus group,5 - A Little Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,5 - A Little Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,6 - Significantly Better than other college courses.,7 - Excellent
User138,1,0,CS6300: Software Development Processes|CS6250: Computer NetworLast192,"My agent primarily used visual representations, although it also used the verbal representations in some places.",Very confident,Neither confident nor unconfident,4 - About Right,4 - About Right,4 - Neither Agree nor Disagree,4 - Neither Agree nor Disagree,4 - Neither Agree nor Disagree,4 - Neither Agree nor Disagree,4 - Neither Agree nor Disagree,4 - Neither Agree nor Disagree,On Piazza|Via E-Mail,7 - Enormously Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,5 - A Little Better than other college courses.,4 - About the Same as other OMS classes,5 - A Little Better than non-OMS online classes.,5 - A Little Better than other college courses.,4 - Fair
User375,No submission,,,,,,,,,,,,,,,,,,,,,
User319,No submission,,,,,,,,,,,,,,,,,,,,,
User42,No submission,,,,,,,,,,,,,,,,,,,,,
User139,1,0,No Answer,"My agent primarily used verbal representations, although it also used the visual representations in some places.",Very confident,Neither confident nor unconfident,5 - A Little Too Fast,4 - About Right,6 - Agree,6 - Agree,7 - Strongly Agree,6 - Agree,5 - Agree Slightly,4 - Neither Agree nor Disagree,No Answer,5 - A Little Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,7 - Enormously Better than other college courses.,5 - A Little Better than other OMS classes,6 - Significantly Better than non-OMS online classes.,7 - Enormously Better than other college courses.,6 - Very Good
User376,No submission,,,,,,,,,,,,,,,,,,,,,
User286,1,0,CS6250: Computer NetworLast192|CS6290: High-Performance Computer Architecture,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Somewhat unconfident,Somewhat unconfident,5 - A Little Too Fast,5 - A Little Too Hard,6 - Agree,6 - Agree,3 - Disagree Slightly,6 - Agree,6 - Agree,5 - Agree Slightly,On Piazza,6 - Significantly Better than other OMS classes,5 - A Little Better than non-OMS online classes.,3 - Not Quite as Good as other college courses.,5 - A Little Better than other OMS classes,5 - A Little Better than non-OMS online classes.,4 - About the Same as other college courses.,5 - Good
User140,1,0,CS6250: Computer NetworLast192|CS6210: Advanced Operating Systems|CS6290: High-Performance Computer Architecture,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Very confident,Somewhat confident,4 - About Right,4 - About Right,6 - Agree,6 - Agree,5 - Agree Slightly,6 - Agree,5 - Agree Slightly,5 - Agree Slightly,On Piazza,5 - A Little Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,5 - A Little Better than other college courses.,4 - About the Same as other OMS classes,N/A - I have not taken any non-OMS online classes.,5 - A Little Better than other college courses.,6 - Very Good
User142,1,0,No Answer,My agent used visual representations exclusively; I did not even touch the verbal representations after Project 1's deadline.,Somewhat confident,Very confident,5 - A Little Too Fast,5 - A Little Too Hard,5 - Agree Slightly,2 - Disagree,2 - Disagree,5 - Agree Slightly,N/A - I have not used Piazza significantly.,4 - Neither Agree nor Disagree,No Answer,4 - About the Same as other OMS classes,6 - Significantly Better than non-OMS online classes.,5 - A Little Better than other college courses.,4 - About the Same as other OMS classes,6 - Significantly Better than non-OMS online classes.,5 - A Little Better than other college courses.,5 - Good
User143,1,0,CS7641: Machine Learning,"My agent primarily used verbal representations, although it also used the visual representations in some places.",Somewhat confident,Somewhat confident,4 - About Right,4 - About Right,3 - Disagree Slightly,6 - Agree,5 - Agree Slightly,5 - Agree Slightly,5 - Agree Slightly,6 - Agree,On Piazza|Via HipChat,5 - A Little Better than other OMS classes,5 - A Little Better than non-OMS online classes.,6 - Significantly Better than other college courses.,4 - About the Same as other OMS classes,5 - A Little Better than non-OMS online classes.,6 - Significantly Better than other college courses.,5 - Good
User144,1,0,CS6300: Software Development Processes|CS6250: Computer NetworLast192,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Neither confident nor unconfident,Somewhat unconfident,5 - A Little Too Fast,5 - A Little Too Hard,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,6 - Agree,6 - Agree,On Piazza,5 - A Little Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,5 - A Little Better than other college courses.,5 - A Little Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,5 - A Little Better than other college courses.,7 - Excellent
User145,No submission,,,,,,,,,,,,,,,,,,,,,
User146,1,0,CS6250: Computer NetworLast192,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Very confident,Very unconfident,5 - A Little Too Fast,5 - A Little Too Hard,7 - Strongly Agree,7 - Strongly Agree,6 - Agree,7 - Strongly Agree,7 - Strongly Agree,6 - Agree,On Piazza,7 - Enormously Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,7 - Enormously Better than other college courses.,7 - Enormously Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,7 - Enormously Better than other college courses.,7 - Excellent
User147,1,0,CS7641: Machine Learning,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Very unconfident,Somewhat confident,6 - Too Fast,4 - About Right,6 - Agree,5 - Agree Slightly,3 - Disagree Slightly,6 - Agree,5 - Agree Slightly,7 - Strongly Agree,On Piazza|Via HipChat,5 - A Little Better than other OMS classes,N/A - I have not taken any non-OMS online classes.,6 - Significantly Better than other college courses.,4 - About the Same as other OMS classes,N/A - I have not taken any non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Very Good
User148,1,0,No Answer,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Very confident,Very confident,4 - About Right,4 - About Right,6 - Agree,7 - Strongly Agree,7 - Strongly Agree,7 - Strongly Agree,6 - Agree,6 - Agree,On Piazza|Meeting in Person,N/A - I have not taken any other OMS classes.,N/A - I have not taken any non-OMS online classes.,5 - A Little Better than other college courses.,N/A - I have not taken any other OMS classes.,N/A - I have not taken any non-OMS online classes.,6 - Significantly Better than other college courses.,6 - Very Good
User44,1,0,"CS6250: Computer NetworLast192|CS6505: Computability, Complexity & Algorithms",My agent used visual representations exclusively; I did not even touch the verbal representations after Project 1's deadline.,Very confident,Very confident,5 - A Little Too Fast,5 - A Little Too Hard,7 - Strongly Agree,6 - Agree,6 - Agree,6 - Agree,6 - Agree,6 - Agree,On Piazza,6 - Significantly Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,7 - Enormously Better than other college courses.,6 - Significantly Better than other OMS classes,7 - Enormously Better than non-OMS online classes.,7 - Enormously Better than other college courses.,7 - Excellent
User45,1,0,CS7641: Machine Learning|CS6300: Software Development Processes,My agent used visual representations exclusively; I did not even touch the verbal representations after Project 1's deadline.,Neither confident nor unconfident,Somewhat unconfident,4 - About Right,5 - A Little Too Hard,4 - Neither Agree nor Disagree,2 - Disagree,2 - Disagree,4 - Neither Agree nor Disagree,1 - Strongly Disagree,7 - Strongly Agree,Other (please specify below),3 - Not Quite as Good as other OMS classes,N/A - I have not taken any non-OMS online classes.,4 - About the Same as other college courses.,3 - Not Quite as Good as other OMS classes,N/A - I have not taken any non-OMS online classes.,4 - About the Same as other college courses.,4 - Fair
User361,1,0,No Answer,My agent used verbal representations exclusively; I did not even touch the visual representations after Project 1's deadline.,Somewhat confident,Somewhat confident,4 - About Right,4 - About Right,6 - Agree,6 - Agree,6 - Agree,6 - Agree,6 - Agree,5 - Agree Slightly,On Piazza,4 - About the Same as other OMS classes,4 - About the Same as non-OMS online classes.,5 - A Little Better than other college courses.,6 - Significantly Better than other OMS classes,5 - A Little Better than non-OMS online classes.,5 - A Little Better than other college courses.,6 - Very Good
